Id H(cm) G(kg)
1 167.081 51.1845
2 181.661 61.83
3 176.276 69.3226
4 173.279 64.48
5 172.187 65.3679
6 174.498 55.8549
7 177.292 64.095
8 177.825 61.8164
9 172.466 50.9036
10 169.621 54.6635
11 168.885 57.7349
12 171.755 51.7054
13 173.482 56.9013
14 170.485 55.4744
15 173.431 52.5888
16 180.569 63.42
17 168.808 58.6635
18 174.371 64.7654
19 180.924 62.4687
20 170.51 56.1901
21 172.288 63.9998
22 174.955 65.0236
23 161.239 44.3487
24 173.787 58.6635
25 171.78 64.258
26 170.713 58.7632
27 179.934 64.5163
28 171.425 59.5922
29 168.986 49.0735
30 166.218 51.5922
31 176.581 46.7949
32 167.157 54.6998
33 172.263 56.9829
34 179.324 61.7077
35 182.372 63.4653
36 175.793 58.3238
37 169.672 64.2354
38 171.856 54.9172
39 172.237 59.5016
40 162.687 48.3396
41 174.168 56.3351
42 165.557 56.5616
43 176.936 63.2705
44 172.644 62.2286
45 167.589 48.2219
46 174.422 58.3283
47 169.875 65.993
48 171.958 52.9195
49 177.343 65.0599
50 175.489 61.1233
51 177.571 66.6001
52 171.018 57.2275
53 178.486 56.8424
54 175.514 52.4166
55 166.065 55.941
56 178.257 66.9942
57 178.841 70.6227
58 169.012 58.0157
59 168.554 54.0746
60 171.552 60.6159
61 168.91 58.3147
62 175.26 62.3102
63 173.482 58.7813
64 170.205 58.3555
65 179.857 61.3
66 173.279 49.6533
67 175.412 64.5389
68 172.034 60.1358
69 170.739 46.8991
70 171.12 56.5027
71 165.786 58.5774
72 179.934 60.7111
73 177.597 63.6012
74 163.297 46.5865
75 173.355 58.2196
76 168.554 54.4959
77 173.634 62.7858
78 166.319 60.2309
79 177.089 52.3759
80 172.034 55.5016
81 174.346 60.9874
82 169.621 55.2207
83 177.927 70.3871
84 168.351 58.4098
85 175.768 58.4823
86 175.59 63.1799
87 171.094 63.8232
88 178.029 59.6103
89 178.257 54.8674
90 173.304 59.574
91 173.05 61.8572
92 178.41 64.095
93 181.585 63.6963
94 175.768 50.7994
95 177.952 60.4574
96 179.222 59.7054
97 168.377 54.3736
98 161.112 55.7643
99 169.596 58.0474
100 174.981 52.3124
101 164.77 46.2468
102 170.409 59.0485
103 173.609 60.7835
104 166.649 44.6839
105 172.11 51.8957
106 172.771 55.941
107 171.856 55.7416
108 168.427 57.2954
109 176.378 58.1743
110 162.154 57.6171
111 172.009 55.2932
112 177.927 57.8073
113 178.283 59.6329
114 167.513 50.6907
115 177.825 55.2841
116 174.269 58.2332
117 174.777 60.104
118 177.19 61.6352
119 166.268 52.5208
120 174.828 62.0157
121 167.132 54.3056
122 170.713 49.3815
123 176.327 58.1063
124 175.108 61.2864
125 172.568 48.4076
126 166.7 55.8504
127 168.91 49.608
128 172.542 54.0474
129 174.981 63.5287
130 178.41 60.6929
131 173.406 60.0587
132 180.924 59.2071
133 175.514 52.3487
134 163.576 56.0769
135 180.594 58.0474
136 173.279 61.5899
137 167.437 52.8334
138 171.298 57.4495
139 187.706 68.5797
140 177.749 59.0712
141 176.581 61.7031
142 165.557 51.3702
143 172.745 56.7745
144 173.584 57.7937
145 165.557 48.5435
146 173.38 52.7564
147 174.168 60.6295
148 163.83 51.1392
149 174.523 59.2343
150 174.981 62.4053
151 176.632 56.8062
152 171.196 62.7269
153 168.859 54.7315
154 167.665 63.488
155 183.998 61.9432
156 162.89 48.0678
157 180.289 72.0089
158 171.45 49.2819
159 182.931 62.8673
160 165.887 52.5072
161 170.383 66.2694
162 163.551 49.7756
163 176.2 62.9897
164 173.685 54.3147
165 165.887 58.1244
166 170.536 57.6397
167 173.711 52.1992
168 168.377 56.5344
169 170.663 57.5084
170 167.615 50.4053
171 176.352 55.5423
172 172.644 56.2671
173 172.11 56.4665
174 165.811 54.1426
175 187.528 63.1029
176 169.697 47.488
177 169.901 55.7371
178 166.98 53.8572
179 167.589 55.035
180 169.113 54.0203
181 170.459 61.1641
182 167.31 52.6522
183 169.621 49.454
184 174.6 56.2717
185 168.224 63.9455
186 167.538 58.505
187 174.193 57.9251
188 169.139 54.7768
189 170.104 57.8255
190 172.923 45.9659
191 178.283 65.6805
192 166.421 50.2604
193 171.348 60.1856
194 171.221 66.292
195 176.936 65.9523
196 167.132 54.7405
197 167.919 52.4483
198 173.33 58.1199
199 172.771 57.7439
200 181.331 57.9296
